survey_id,grantor,credit_type,show_credit
48109,NA,Participated,0.5
46926,NA,Participated,0.5
48550,NA,Participated,0.5
48504,NA,Participated,0.5
48930,NA,Participated,0.5
48501,NA,Participated,0.5
48490,NA,Participated,0.5
48464,NA,Participated,0.5
48495,NA,Participated,0.5
49216,NA,Participated,0.5
48507,NA,Participated,0.5
48683,Luke Watson,Participated,0.5
48932,NA,Participated,0.5
48934,NA,Participated,0.5
48497,NA,Participated,0.5
49058,NA,Participated,0.5
48480,Luke Watson,Participated,0.5
48813,NA,Participated,0.5
47601,NA,Participated,0.5
49279,NA,Participated,0.5
48540,NA,Participated,0.5
48565,Luke Watson,Participated,0.5
49061,NA,Participated,0.5
49187,NA,Participated,0.5
49277,NA,Participated,0.5
48122,NA,Participated,0.5
48498,NA,Participated,0.5
48818,NA,Participated,0.5
49064,NA,Participated,0.5
49008,NA,Participated,0.5
48538,NA,Participated,0.5
48484,NA,Participated,0.5
48820,NA,Participated,0.5
49221,NA,Participated,0.5
48572,NA,Participated,0.5
48574,Luke Watson,Participated,0.5
47824,NA,Awaiting Action,0
48705,NA,Participated,0.5
48578,NA,Participated,0.5
48826,NA,Awaiting Action,0
48948,NA,Participated,0.5
48488,NA,Participated,0.5
49069,NA,Participated,0.5
48708,NA,Participated,0.5
48580,NA,Participated,0.5
48262,Luke Watson,Participated,0.5
48581,NA,Participated,0.5
48951,NA,Participated,0.5
48952,NA,Participated,0.5
48710,NA,Participated,0.5
48583,NA,Awaiting Action,0
48511,NA,Participated,0.5
48712,NA,Participated,0.5
48494,NA,Participated,0.5
49074,NA,Participated,0.5
48832,NA,Participated,0.5
48588,NA,Participated,0.5
48508,NA,Participated,0.5
48717,NA,Participated,0.5
48545,NA,Participated,0.5
48593,NA,Participated,0.5
48595,NA,Participated,0.5
48598,NA,Participated,0.5
48720,NA,Participated,0.5
48601,NA,Participated,0.5
48604,NA,Participated,0.5
46986,NA,Participated,0.5
48607,NA,Participated,0.5
48608,NA,Participated,0.5
48609,NA,Participated,0.5
48615,NA,Participated,0.5
47828,NA,Awaiting Action,0
49024,NA,Participated,0.5
49025,NA,Participated,0.5
48842,NA,Participated,0.5
49092,NA,Participated,0.5
48616,NA,Participated,0.5
48618,NA,Participated,0.5
48619,NA,Participated,0.5
48543,NA,Participated,0.5
49095,NA,Participated,0.5
49098,NA,Participated,0.5
48730,NA,Awaiting Action,0
48623,NA,Participated,0.5
48527,NA,Participated,0.5
49103,NA,Participated,0.5
49033,NA,Awaiting Action,0
48626,NA,Participated,0.5
48852,NA,Awaiting Action,0
49035,NA,Participated,0.5
47192,NA,Participated,0.5
48975,NA,Awaiting Action,0
48633,NA,Participated,0.5
48738,NA,Participated,0.5
48854,NA,Participated,0.5
48487,NA,Participated,0.5
48859,NA,Participated,0.5
48532,NA,Participated,0.5
48486,NA,Participated,0.5
48982,NA,Participated,0.5
48864,NA,Awaiting Action,0
48496,NA,Participated,0.5
49111,NA,Participated,0.5
49040,NA,Participated,0.5
49041,NA,Participated,0.5
47220,NA,Participated,0.5
48648,NA,Participated,0.5
47835,NA,Participated,0.5
48868,NA,Participated,0.5
